name,sgnum,numpeaks
1503095_0050,148,8
1503096_0050,2,75
1503102_0050,19,41
1503107_0050,36,8
1503110_0050,2,19
1503116_0050,19,37
1503118_0050,2,34
1503124_0050,14,30
1503128_0050,14,33
1503131_0050,2,56
1503137_0050,29,10
1503142_0050,14,30
1503151_0050,4,74
1503153_0050,14,88
1503154_0050,2,40
1503160_0050,14,30
1503161_0050,60,52
1503162_0050,4,65
1503169_0050,2,47
1503170_0050,14,34
1503171_0050,14,74
1503172_0050,19,91
1503173_0050,14,55
1503175_0050,14,35
1503178_0050,5,63
1503179_0050,14,27
1503184_0050,19,47
1503188_0050,14,31
1503189_0050,14,23
1503193_0050,14,29
1503194_0050,2,18
1503196_0050,1,18
1503197_0050,61,13
1503198_0050,14,87
1503202_0050,2,79
1503203_0050,61,12
1503207_0050,19,74
1503213_0050,14,36
1503217_0050,2,75
1503222_0050,2,39
1503227_0050,2,24
1503229_0050,2,47
1503232_0050,33,34
1503240_0050,14,25
1503241_0050,4,90
1503242_0050,14,48
1503251_0050,96,41
1503253_0050,33,20
1503254_0050,2,49
1503260_0050,61,20
1503264_0050,19,33
1503266_0050,19,40
1503269_0050,14,31
1503270_0050,4,37
1503273_0050,76,55
1503286_0050,2,16
1503290_0050,4,84
1503295_0050,2,50
1503296_0050,19,31
1503298_0050,18,7
1503299_0050,14,27
1503303_0050,19,48
1503306_0050,19,62
1503311_0050,14,81
1503319_0050,61,46
1503323_0050,19,64
1503327_0050,19,41
1503328_0050,19,27
1503329_0050,15,28
1503334_0050,14,50
1503335_0050,19,25
1503338_0050,2,43
1503344_0050,14,20
1503350_0050,2,35
1503351_0050,14,27
1503362_0050,14,32
1503368_0050,19,58
1503374_0050,173,12
1503376_0050,4,81
1503377_0050,61,35
1503381_0050,14,15
1503385_0050,14,49
1503388_0050,14,32
1503401_0050,14,50
1503402_0050,2,66
1503408_0050,19,44
1503409_0050,14,23
1503410_0050,2,36
1503413_0050,7,36
1503415_0050,169,82
1503416_0050,1,55
1503418_0050,19,32
1503421_0050,15,43
1503425_0050,33,28
1503430_0050,2,101
1503434_0050,2,48
1503438_0050,19,33
1503439_0050,144,28
1503442_0050,14,26
1503460_0050,19,17
1503463_0050,19,43
1503464_0050,5,28
1503466_0050,19,74
1503483_0050,1,49
1503490_0050,14,40
1503492_0050,14,14
1503494_0050,19,33
1503505_0050,2,85
1503510_0050,14,28
1503516_0050,19,48
1503517_0050,14,45
1503518_0050,14,48
1503519_0050,4,53
1503520_0050,61,9
1503525_0050,12,12
1503527_0050,4,28
1503528_0050,19,25
1503529_0050,19,39
1503531_0050,2,37
1503533_0050,19,31
1503534_0050,19,46
1503537_0050,14,86
1503540_0050,5,26
1503541_0050,62,29
1503542_0050,14,25
1503543_0050,15,39
1503544_0050,14,67
1503551_0050,14,58
1503553_0050,14,42
1503554_0050,14,46
1503558_0050,19,55
1503561_0050,29,14
1503562_0050,2,19
1503566_0050,2,27
1503569_0050,19,18
1503574_0050,12,34
1503578_0050,14,38
1503580_0050,19,28
1503585_0050,14,22
1503595_0050,2,25
1503600_0050,1,124
1503605_0050,19,36
1503609_0050,14,82
1503613_0050,2,89
1503617_0050,19,35
1503620_0050,19,27
1503623_0050,18,9
1503636_0050,1,21
1503637_0050,19,44
1503647_0050,14,20
1503649_0050,29,12
1503650_0050,2,86
1503653_0050,2,22
1503656_0050,14,38
1503658_0050,2,63
1503662_0050,29,17
1503664_0050,4,18
1503666_0050,4,33
1503669_0050,19,26
1503678_0050,19,28
1503688_0050,19,97
1503689_0050,19,29
1503694_0050,1,9
1503696_0050,19,24
1503698_0050,14,36
1503699_0050,19,48
1503702_0050,19,21
1503703_0050,19,45
1503712_0050,19,69
1503716_0050,14,37
1503719_0050,92,27
1503720_0050,2,14
1503722_0050,19,33
1503730_0050,4,94
1503731_0050,19,49
1503739_0050,19,39
1503740_0050,19,22
1503742_0050,4,24
1503750_0050,4,30
1503751_0050,14,47
1503754_0050,4,64
1503757_0050,14,48
1503765_0050,19,74
1503767_0050,14,56
1503769_0050,14,20
1503772_0050,14,16
1503776_0050,14,21
1503788_0050,113,26
1503791_0050,2,80
1503794_0050,4,50
1503797_0050,2,58
1503799_0050,1,46
1503804_0050,4,28
1503808_0050,61,19
1503809_0050,14,35
1503828_0050,2,51
1503832_0050,14,113
1503836_0050,144,47
1503841_0050,4,35
1503847_0050,92,28
1503849_0050,92,21
1503850_0050,33,11
1503855_0050,33,25
1503857_0050,19,79
1503860_0050,2,61
1503866_0050,14,53
1503876_0050,4,58
1503885_0050,14,13
1503886_0050,14,14
1503889_0050,13,29
1503895_0050,19,49
1503896_0050,19,90
1503897_0050,29,16
1503898_0050,4,31
1503899_0050,14,41
1503900_0050,14,34
1503902_0050,2,34
1503903_0050,2,61
1503904_0050,19,66
1503924_0050,19,67
1503929_0050,43,16
1503934_0050,19,33
1503943_0050,61,36
1503945_0050,15,39
1503948_0050,14,95
1503949_0050,2,86
1503951_0050,14,19
1503953_0050,2,144
1503963_0050,19,38
1503965_0050,19,26
1503968_0050,7,20
1503969_0050,2,32
1503972_0050,19,34
1503975_0050,2,53
1503979_0050,14,23
1503980_0050,14,36
1503984_0050,14,45
1503988_0050,14,11
1503989_0050,61,18
1503993_0050,14,24
1503997_0050,19,39
1504001_0050,14,99
1504005_0050,19,21
1504010_0050,2,30
1504011_0050,19,23
1504013_0050,2,19
1504017_0050,4,31
1504018_0050,14,67
1504027_0050,19,30
1504032_0050,19,104
1504041_0050,19,61
1504048_0050,19,32
1504050_0050,4,20
1504057_0050,14,17
1504062_0050,14,17
1504063_0050,14,34
1504066_0050,19,38
1504068_0050,14,29
1504069_0050,96,32
1504070_0050,19,27
1504074_0050,19,28
1504088_0050,33,52
1504092_0050,14,30
1504095_0050,14,30
1504106_0050,14,16
1504107_0050,61,48
1504108_0050,19,36
1504109_0050,14,83
1504111_0050,2,39
1504117_0050,15,60
1504119_0050,14,91
1504120_0050,4,55
1504125_0050,7,13
1504129_0050,2,37
1504137_0050,19,59
1504144_0050,61,15
1504152_0050,2,50
1504164_0050,14,33
1504169_0050,14,28
1504172_0050,33,16
1504173_0050,2,74
1504182_0050,19,21
1504186_0050,19,23
1504189_0050,19,27
1504190_0050,19,36
1504206_0050,14,33
1504214_0050,19,33
1504215_0050,5,20
1504216_0050,14,43
1504228_0050,19,36
1504232_0050,19,18
1504241_0050,4,47
1504244_0050,19,32
1504245_0050,19,45
1504249_0050,19,103
1504255_0050,2,28
1504256_0050,14,38
1504262_0050,15,23
1504264_0050,5,61
1504269_0050,14,36
1504270_0050,19,47
1504276_0050,2,28
1504277_0050,19,72
1504280_0050,33,15
1504281_0050,14,49
1504286_0050,19,25
1504292_0050,18,22
1504293_0050,2,37
1504306_0050,19,65
1504309_0050,14,51
1504315_0050,19,51
1504316_0050,61,13
1504320_0050,61,33
1504324_0050,2,33
1504330_0050,14,34
1504332_0050,14,32
1504333_0050,14,42
1504339_0050,14,17
1504357_0050,14,11
1504360_0050,19,22
1504376_0050,2,71
1504389_0050,19,40
1504391_0050,45,14
1504394_0050,62,8
1504395_0050,173,11
1504396_0050,173,13
1504398_0050,2,70
1504406_0050,43,5
1504407_0050,61,11
1504411_0050,19,69
1504424_0050,18,18
1504429_0050,2,38
1504433_0050,2,56
1504437_0050,15,45
1504438_0050,2,112
1504447_0050,19,36
1504448_0050,19,33
1504459_0050,19,26
1504468_0050,4,43
1504471_0050,5,18
1504477_0050,15,48
1504484_0050,14,41
1504488_0050,114,31
1504489_0050,2,47
1504491_0050,2,62
1504493_0050,19,36
1504509_0050,14,53
1504512_0050,19,29
1504514_0050,2,61
1504518_0050,19,54
1504522_0050,14,23
1504526_0050,11,36
1504531_0050,19,32
1504540_0050,19,49
1504542_0050,19,43
1504546_0050,2,86
1504554_0050,2,63
1504557_0050,61,31
1504558_0050,19,33
1504570_0050,19,71
1504576_0050,2,24
1504582_0050,4,36
1504583_0050,4,39
1504584_0050,19,32
