cif,formula
1502812,H224 C144 O24
1502814,H88 C80 N8 O12
1502818,H176 C120 O16
1502820,H56 C72 N8 O24
1502827,H96 C80 N8 O16
1502829,H64 C80 N8 O12
1502835,H88 C84 N8 O8
1502836,H76 C88 Cl4 O16
1502838,H160 C116 O40
1502839,H92 C96 N4 O4
1502840,P2 H242 C150.48 S4.24 N20 O16.24
1502844,H100 C84 N4 O24
1502845,H104 C128 N8 O32
1502848,H96 C96 S8 N8 O20
1502853,H104 C88 N8 O32
1502858,H76 C48 N4 O8
1502860,H84 C92 S2 N4 O12
1502865,Si2 H54 C42 Br2 O6
1502873,Si4 H132 C92 O8
1502874,Si2 H86 C54 O10
1502882,Si4 H160 C132.0
1502889,H56 C52 N4 Cl4 O4
1502909,Fe4 P4 H144 C144 S4 N12
1502912,H64 C84 O16
1502914,Ni4 B4 H124 C128 N20 Cl12 F16
1502922,Si4 H120 C80 S4 N8 O16
1502923,H34 C36 S2 N2 O4
1502926,H88 C100 N8 O8
1502927,P4 H76 C64 S4 N12 O20 F12
1502932,H93.12 C84.02 N3.9 O15.08
1502937,H52 C48 Cl4 O8
1502938,H96 C120 N4 Cl4 O8
1502942,P2 H42 C34 Br2 N2 O4
1502944,H120 C88 S8 O16
1502945,B8 H80 C64 I8 O32
1502946,B2 H24 C18 I2 O10
1502948,H44 C64 N4 O8
1502951,P2 H108 C86 N4 O20 F12
1502954,H64 C84 N8 O4
1502963,Si16 H144 C96 S16 Br16 N16
1502964,H8 C20 I4 N4 F4
1502965,H76 C80 N12
1502967,P4 H68 C56 N4 O4
1502971,H54 C51 Br3 N9 O7.164
1502973,B4 H40 C36 N12 O16
1502978,H36 C108
1502980,H60 C56 N8 F4
1502990,B96 H96 C64 N64 F96
1502993,H44 C34 N4 O6
1502995,H72 C72 O20
1502999,H96 C100 O8
1503009,H116 C124 S8 N4 O20
1503010,H132 C136 N4 O12
1503015,H248 C162 O20
1503016,H180 C130 O20
1503020,H88 C60 O12
1503021,H156 C164 S8 N8 Cl4 O48
1503022,H116 C120 N4
1503025,H80 C104 N8
1503035,Si4 H160 C96 O12
1503057,P4 H76 C80 O12
1503060,H160 C128 N32 O56
1503061,H256 C168 N48 O8
1503066,H58 C60 S2 N4 Cl6 O10
1503067,H80 C76 N8 O20
1503069,H34 C38 Cl2 O2
1503071,B4 H58 C46 N12 Cl6.0 O8
1503074,In2 H50 C26 Br4 O4
1503076,H92 C68 N4 O4
1503077,H96 C60 O12
1503078,H128 C112 O16
1503079,H88 C64 O4
1503080,P4 H24 W4 C40 Cl4 O24
1503083,H88 C88 N8 O4
1503084,H200 C128 N8 O16
1503086,Ni4 P4 H196 C176 O4
1503090,H48 C84 N8 O8
1503091,Fe8 H128 C200 N16 O16
1503092,H176 C208 S8 N8 O16 F24
1503095,H180 C162 O18
1503096,H102 C72 Cl6 O6
1503102,H204 C144 N4 Cl8 O40
1503107,H128 C224 N8 O20 F8
1503110,H48 C36 O10
1503116,H100 C92 S4 N4 O16
1503118,H38 C34 N2 O12
1503124,H112 C88 N16 O8
1503128,H100 C100 N8 Cl4 O24
1503131,H66 C58 N4 Cl2 O10
1503137,H56 C52 O16
1503142,P4 H100 C64 S4 N4 Cl12 O28
1503151,H60 C72 Br4 O8
1503153,H92 C68 S4 Br4 N8
1503154,H22 C28 N4 Cl2 O2
1503160,H176 C208 N16 O32
1503161,H184 C216 N16 O36
1503162,H212 C248 N16 O18
1503169,H38 C46 N2 O4
1503170,H84 C96 N4 O8
1503171,P4 H92 C100 S4 Br4 N4 O12
1503172,P4 H108 C124 S4 Br4 N4 O12
1503173,B16 H112 C208 N48 F80
1503175,H76 C64 S8 N4 O4
1503178,H76 C72 Br4 N8 O4
1503179,H80 C68 N8 O4
1503184,H84 C84 S4 N4 O8
1503188,H76 C88 N8 O4 F4
1503189,H60 C92 N4 O4
1503193,H48 C52 O16
1503194,H32 C44 O16
1503196,H24 C26 O8
1503197,H152 C136 N8 O40
1503198,H104 C116 N32 O44
1503202,H72 C84 Br4 O12 F12
1503203,H72 C96 Cl8 O16
1503204,H148.0 C189.8608 N16 Cl3.7216 O0.442
1503207,H40 C40 Br8 N4 Cl12 O8
1503213,H32 C56 S4 N8 O8
1503217,H36 C42 S2 Br4 N8 O2
1503222,H84 C76 N12 O4
1503227,H74 C58 O4
1503229,H100 C92 O8
1503232,H176 C116 N16 Cl8 O12
1503240,H68 C72 N4 O12
1503241,Sb4 P8 H176 Rh4 C104 O4 F24
1503242,H176 C184 N16 O32
1503251,H160 Au4 C132 N8 Cl4
1503253,H52 C72 Se4 N4 O4
1503254,H72 C60 N6 Cl2 O16
1503260,H80 C96 O16
1503262,P4 H144.28 Pd4 C108.12 N4 Cl8 O4
1503264,H136 C104 N8 O20
1503266,H68 C80 Cl4 O24
1503269,H172 C196 N16 O12
1503270,H168 C120 Cl8 O32
1503273,H112 C128 S8 O56
1503286,H38 C28 S2 N2 O6
1503290,H84 C72 Br4 O16
1503295,H92 C60 S2 N4 O4
1503296,H88 C72 N8 O8
1503298,Si8 H200 C136 O28
1503299,Si4 H112 C108 O12
1503303,H104 C76 N8 O12
1503306,H104 C80 S4 N4 O12 F20
1503311,B4 H60 C48 Br8 O12
1503314,H112 C80 O31.96
1503319,H112 C160 N16 O8
1503323,Fe4 P4 H124 C148 S4 N8
1503327,H144 Rh8 C164 Cl16
1503328,H72 C80
1503329,H192 C200 O16
1503334,H96 C128 O16
1503335,H64 C96 O12
1503338,Si4 H56 C56 O4.0
1503344,H108 C96 S8 N12 O60
1503350,H32 C36 O6
1503351,H56 C68 O12
1503362,H96 C160 O16
1503368,H224 Rh8 C136 Cl8 O8
1503374,P2 H162 Au2 C186 Cl2 O18
1503376,P2 H36 Au2 C44 N2 Cl2 O4
1503377,H104 C152 N24 O8
1503381,H48 C60 N8 O24
1503385,H44 C56 S16
1503388,H68 C72 S4 N4 O8
1503401,H72 C92 N8 O16
1503402,H42 C42.0 N2 Cl4.0 O12
1503408,H104 C88 S4 O12
1503409,H80 C84 N8 O8
1503410,H120 C96 N16 O12
1503413,H92 C88 N4 O12
1503415,H120 C132 Br6 N6 O24
1503416,P4 H81 C77 N9 O12 F24
1503418,Si4 H160 C84 O12
1503421,H80 C92 S8 O20
1503425,H96 C88 O4
1503430,H124 C132 N8 Cl4 O12
1503434,H30 C40 O8 F2
1503438,H112 C92 N8 O12
1503439,H162 C210 N6 Cl12 O30
1503442,H92 C64 N4 O8
1503460,H88 C92 O24
1503463,H212 C164 N4 O32
1503464,H64 C64 O20
1503466,H220 C148 N4 O24
1503483,H46 C55 N10
1503490,H108 C120 N4 O4
1503492,H76 C96 N4 O4
1503494,H108 C100 N12 O16
1503505,H96 C96 Cl8 O12
1503510,Ni4 H72 C128 N40
1503516,H184 C152 N8 O8
1503517,H192 C156 N8 O8
1503518,H208 C164 N8 O8
1503519,H100 C80 N4 O8
1503520,H128 C64 N16 O16
1503525,B4 H84 C68 N8 O16
1503527,H44 C40 N4 O12
1503528,H60 C64 N4 O4
1503529,H72 C80 N8
