cif,formula
4116902,Mo8 H208 C192 N24 O4
4116904,Mo8 H144 C132 N16 Cl8 O20
4116905,Mo8 H120 C120 N16 Cl8
4116914,K4 P8 H276 Os4 C124 N4 O24
4116919,H96 Pd4 C56 N24 Cl4
4116931,Cu2 H60 C26 N8 Cl4 O16
4116937,Mg2 Si12 Mo4 H196 C80 N24 O5
4116950,Ni4 P8 H136 C152 S8 N8 Cl16
4116952,H192 C180 O29
4116968,Si4 H112 C48 O16
4116974,Mo4 H64 C48
4116978,Si8 H120 C76 O8
4116979,P8 H280 C184
4116980,Ni8 H160 C132 N24 Cl8 O52
4117004,B4 H28 C28 N8 O4
4117005,B16 H96 C112 N16 O32
4117008,P4 H104 Rh4 C92 Cl4 O4 F28
4117016,H70.0 C64.0 N4 O18
4117019,Zn1 H60 C60 N4 O16
4117024,H100 C112 N4 O4
4117025,Fe5 H52 C48 N32
4117036,H32 C48 N32 O48
4117044,H16 Pt8 C72 N16 Cl24 O16
4117047,Ag2 H16 C32 N4 Cl2 O8
4117048,Ag2 Sb2 H16 C32 N4 F12
4117051,Co6 H64 C82 N24 Cl8
4117055,H192 C144 N16 Cl8 O32
4117063,B12 Mo8 H148 C80 Cl8
4117066,P4 H116 Pd2 C76 O4 F6
4117072,Ni2 H28 C12 N16 O16
4117075,Si12 Mo4 H152 C60 N16
4117076,Si12 Mo4 H168 C64 N16
4117078,H80 C104 Br16 N16
4117082,H20 C26 N8 O8
4117091,H54 C68 N2
4117094,H12 C4 O8 F4
4117109,Li4 H80 C40 N4 O2
4117110,Ti4 H88 C68 O4
4117111,Ti2 H44 C36 O4
4117135,H72 C68 N4 Cl4 O8
4117141,Co4 H68 C304
4117156,H96 C64 N12 O12
4117159,H104 Os4 C56 N8 O16
4117160,H64 C84 S4 O8
4117161,H32 C42 S2 O4
4117177,H232 C176 N8 O32
4117179,Co8 H96 C88 O28
4117188,H52 C48 N28 O28
4117209,H188 C140 Br4 O24
4117211,H84 C108 N4 O8
4117212,H46 C53 N2 O1
4117224,Cu2 H100 C96 S4 N4 O4
4117225,Cr4 H152 C112 O28
4117226,Re4 P8 H166 C178 S2 N4 Cl10 O10 F6
4117227,P8 H144 Au8 C176 N8 O20 F24
4117233,Cd3 H82 C102 N4 O16
4117235,H152 C128 S8 N8 O16
4117236,Na2 H163 C97 O90
4117243,H152 C102 N18 O40 F6
4117246,H112 C144
4117247,H80 C200 Cl40
4117248,H40 C208 S16
4117250,H96 C144 O16
4117255,H164 Ru4 C128 N12 O16
4117257,P4 H152 C128 I12 N8 Cl8
4117258,B4 H144 C124 I14 N8
4117259,Te4 H152 C128 I8 N8 Cl8
4117262,B2 P2 H46 C70 F20
4117291,Zn4 H16 C36 N48
4117292,U4 H156 C108 N4 O4
4117316,Li4 H52 C32 S4 O8
4117317,Li4 H104 C52 S4.0 N12
4117319,H144 C108 N8 O48
4117320,H160 C152 I8 N8 O8
4117323,H124 C88 N4 O20
4117340,H182 C168 N14 O18
4117348,V4 H228 C192 N16 O4
4117354,Sb4 H128 Rh4 C128 N8 F24
4117380,H12 C32 S16 N12 Cl4 O4
4117384,H28 C16 N6 Cl2 O8
4117389,Ta2 H46 C44 Cl4
4117392,H136 C160 I8
4117400,Si2 H46 W2 C40 N4 O10 F2
4117402,H152 Pd4 C96 N16 Cl4 O16
4117405,H168 Pd4 C128 N16
4117429,Fe2 H88 C76 I8 N10 O3
4117430,Fe4 P8 H96 C108 N8 F48
4117437,H80 C56 S4 O8
4117440,H52 C50 Br2 N4 Cl2 O4
4117441,Al4 Fe4 H96 C80 N8 Cl4 O8
4117442,Mn2 Al2 H54 C42 N4 Cl2 O4
4117449,Co4 H48 C80 N40 O16
4117470,B40 H102 C68
4117473,B40 H120 C76
4117478,H78 C68 S2 N6 O4
4117480,H148 C116 S4 N12 O8
4117491,H130 Au6 C146 S12 N12 O2
4117492,Cu4 H116 C124 N12 O20
4117499,Hf4 Si4 H126 C88 I2 N4 O6
4117500,Hf4 Si4 H126 C90 N4 O6
4117507,P12 H174 Ru3 C84
4117510,Si4 P16 H272 Ru4 C128
4117515,P16 H240 Ru4 C152
4117518,P16 H224 Ru4 C112 Cl8
4117525,H136 C128 Cl8 O32
4117534,Ga20 H116 C84 S34 N12 O2
4117547,H112 C112 N32 O16 F24
4117552,H136 C112 N32 O16
4117554,H110.4 C112 N32 O16 F25.6
4117556,H54 C46 S2 N10 Cl4 O12
4117558,H168 C128 S8 N8 O16
4117571,H64 C60 S4 N8 O4
4117575,H44 C52 Se8 N4
4117585,Si4 H132 C100 S4 N4 O12
4117590,H38 C24 N2 O6
4117603,H116 C108 N4
4117605,H148 C160 N24 Cl12 O16 F24
4117609,H120 C92 S4 N12 Cl12.0 O12
4117610,B4 H84 C108 N4 F60
4117614,H176.0 C228
4117615,H40 C38 S2 N6 Cl6 O2
4117626,Mg4 H96 C116 N8 O32 F24
4117629,Mg4 H80 C116 N8 O24 F24
4117634,P4 H112 C116 N4 O8
4117648,B2 P4 H126 Rh2 C126 F50.0
4117656,H108 W2 C78 O8
4117668,Li2 U2 H154 C126 N10 O4
4117672,U2 H188 C148 N12
4117682,Co4 H196 C132 N12 Cl4 O4
4117688,Co6 H228.192 C162.064 N18
4117694,H64 C80 N4 Cl4 O16
4117707,Ni2 B2 P4 H78 C90
4117715,H68 C92 N12 O4
4117716,H38 C42 S2 N6 O4
4117721,P4 H156 C124 N12 Cl4
4117722,P4 H180 C136 N12 Cl4
4117723,P4 H132 C112 Br4 N12
4117724,Al4 P4 H132 C112 N12 Cl16
4117726,P4 H44 C36 N4 Cl4
4117727,P4 H94 C79 N10 Cl6
4117730,Fe4 P8 H248 C160 N8
4117731,H32 C52 O4
4117738,Ni4 P8 H188 C132 N4 O4
4117755,H50 C40 Br2 O8
4117758,H34 C32 N2 O6
4117770,Fe4 P8 H152 C140 N8
4117776,K2 Y2 Si12 H138 C54 N6 O6
4117778,K4 Lu2 Si12 H204 C84 N6 O31.04
4117780,K2 Lu2 Si12 H196 C78 N6 O18
4117785,Si16 B2 H96 Pb2 C68 F30
4117787,H96 C108 O20
4117793,Fe6 B2 H122 W2 C62 Se2 S12 N14 O1
4117808,H140 C128 N12 O12
4117810,Si4 H144 C156 O8
4117822,Fe2 B2 H124 C102 N14 O2
4117824,H96 Rh4 C136 S4 N36 Cl12 O12 F12
4117825,P4 H108 C152 S4 O16
4117830,Si8 B4 H248 C164 I8 N12
4117838,Si4 H200 C192 S8
4117844,B2 P6 H124 Pt2 C128 O2 F20
4117845,B2 P6 H96 Pt2 C112 F20
4117846,H84 C60 N12 O20
4117848,Zn2 H110 C92 N8 O6
4117866,Zr4 H76 C60 N4 Cl16 O12
4117894,Nb4 H80 C36 N8 Cl12 O8
4117934,Ni14 H144 C120 N72
4117942,H100 C132 Br12 N16 O4
4117977,H76 C80 S4 N4 O8
4117980,B4 H108 C60 O8
4118056,Zn4 H40 C24
4118071,Zn8 P8 H104 C144 N16 O64
4118072,Zn4 H52 C80 N12 O24
4118191,B8 H248 C224 N16
4118200,Cu4 H60 C24 N8 Cl12 O4
4118208,H132 C160 S4 N4 O16
4118281,H96 C80 N8 O16 F16
4118282,H128 C120 N16 O24 F32
4118352,Te4 P8 H120 Pt4 C148 I16.0 Cl8
4118358,P8 H120 C132
4118360,P4 H116 C96 O36
4118361,P6 H174 C144 O54
4118370,Zn2 In10 H48 C144 O96
4118383,H112 C72 N8
4118410,Zn4 P8 H40 C16 N24 O32
4118426,H136 C120 Br8 O16
4118474,H84 C60 N8 Cl4 O12
4118521,H32 C24 S8 N16
4118527,H104 C72 S8 N48 O20
4118532,H48 C36 S8 N16 O8
4118561,P8 H160 C224 N8
4118581,H64 C72 I4 Br8 N4 O8
4118592,P4 H176 Rh4 C164 N4 Cl4 O8
4118682,H152 C128 N40
4118700,H176 C152 O40
4118723,H48 C72 Cl8 O8 F24
4118734,Si4 H68 C68 F4
4118737,H144 C156 S8 N32 F48
4118794,Si2 H88 C104
4118811,H160 C240 Br32 Cl32 O24
4118814,Si32 H288 C112 N32
4118827,H156 C100 N12 O12
4118869,Si4 H144 C84 O16
4118876,V4 H252 C164 N16 O4
4118885,Si8 H96 Ru4 C68 O16
4118891,Zn12 H72.0 C72.0 N48
4118892,Zn12 H79.8 C75.6 N48
4118924,H128 Ir8 C176 N16 Cl8
4118930,Al4 H72 C36 N4 Cl12 O4
4118932,Al4 H76 C36 N4 Cl12 O4
4118934,H156 C152 N8 Cl4 O24
4118952,Cr9 Co9 H180 C216 N36 O36
4118958,B4 Mo4 H244 C156 S8 N48 O16
4118962,Zn16 H112 C264 O80
4118973,P4 H236 Pd4 C156 Br4 N4 O4
4118978,B4 H100 C140 Br8 N4
4118995,B4 H104 C132 N4
4119000,H160 C104 O16
4119007,H52 C72 N4 Cl8 O12
4119053,K8 H16 C16 N56 O32
4119098,Cu8 H208 C128 N32
4119154,H76 C88 S4 I4 N16
4119172,H160 C144 N16 O16
4119173,Si4 H184 C164 N8 O8
4119200,Si4 H216 C152 N8 Cl40 O8
4119220,H184 C120 S4 N8 Cl8 O44
4119222,Ni8 P8 H272 C176 Cl8
4119225,H48 C60 O12
4119226,H76 C72 S4 Br4 N8 O16
4119321,U4 P8 H120 C48 I8 N8 O4
4119323,U4 H232 C96 Br16 N16
4119369,H208 C168 N8 Cl8
4119372,P4 H102.4 C105.6 N8 O1.6 F24
4119375,H104 C84 S4 N8 O4
4119395,H72 C56 Br12 N4 O8
4119404,H80 C60 N12 Cl4 O8
4119427,B4 H120 C124 N4 O4
4119435,Sb3 P3 H207 C135 F18
4119449,H120 C144 Br8 O24
4119461,Cu4 H56 C60 N24 O8
4119494,H36 C52 Br4 O12
4119572,H56 C88 Br4 N16 O4 F4
4119590,Al2 P4 H208 C152 O8 F48
4119593,H240 C156 S8 N16 O16
4119605,Fe8 H128 C144 N64 Cl8 O40
4119618,Si6 H54 C42 F6
4119620,H24 C56 S4 I12 O4 F12
4119636,H256 W24 C128 Cl56 O32
4119638,H144 W4 C104 N8 Cl16
4119678,Mn4 H84 C100 S8 N20 O24 F24
4119689,Zn8 H96 C144 N16 O24
4119693,Zn8 H120 C152.0 N16 O32
4119694,Zn8 H136 C160 N16 O32
4119695,Zn8 H152 C168 N16 O32
4119711,H96 C148 O4
4119721,P4 H80 C64 S4 N8 O12 F12
4119731,H108 C54 O36
4119746,H144 C152 O8
4119756,U6 H102 C60 N18 O72
4119757,U6 H102 C60 N18 O60
4119761,Cd8 H48 C48 N32
4119791,H168 C80 N8 O16
4119826,H128 C104 S8 Br8 N8 O32
4119827,H88 C64 S4 Br4 N4 O16
4119879,H152 C176 Br8 N16 O24
4119903,B8 H224 C120 N16 Cl8
4119935,B4 P4 H136 C156 Cl8.0 O8 F40
4119954,H124 Pd4 C124 N12 O24 F24
4120105,Co12 H126 C150 N18 O54
4120120,Zn2 In6 H72 C120 N6 O40
4120121,In6 Co4 H72 C120 N6 O43.96
4120189,P8 H216 C192
4120220,H40 C56 N8 O4.0
4120225,H140 C116 Br4 N8 O12
4120226,H128 C112 N8 O12
4120228,H96 C93 O12
4120229,H84 C100 Br4 O16
4120233,H92 C112 N16 Cl4 O8
4120237,H188 C176 N28 O28
4120239,H188 C176 N28 O36
4120267,H208 C152 N16 O16
4120288,H64 C84 Br4 N4 O4
4120296,H16 C16 Br16 N32 O32
4120301,P4 H156 C128 N8 O4
4120325,B40 H56 C40 F16
4120327,B40 H56 C40 F16
4120330,Si8 H144 C136 N16 Cl16 O32
4120359,Na6 Mn6 H18 C90 O36 F108
4120360,Na6 Fe6 H18 C90 O36 F108
4120415,Mn4 H224 C112 N8 O8
4120421,B8 H96 C96 N8 O16
4120478,Ge4 H100 C60 N8 F12
4120495,H64 C88 N8
4120504,H4 C24 S16 N8 O4
4120511,Si4 H128 C84 O12
4120513,Fe4 P12 H220 C148 N8
4120555,H48 Pb4 C12 Br16 N8
4120581,H68 C96 N28 O40
4120587,H152 C92 N12 O24
4120588,H136 C84 N12 O24
4120623,H88 C96 Br4 N4
4120625,H120 C112 S4 N8 O8
4120644,Fe4 B4 P4 H156 C188 N4 F40
4120686,P8 H220 Pd4 C236 Cl4 O8
4120687,P8 H152 C176 O8
4120688,P8 H188 Pd4 C196 Br4 Cl16 O8
4120720,Mn2 Cr2 P6 H120 C78 N8
4120739,U4 Si24 H228 C76 N12 O4
4120754,H40 C36 Br8 O4
4120778,Si4 H72 C86 S6 Cl6
4120799,Si4 H128 C108 N8 O4
4120801,Si4 H84 C92 N8 O4 F12
4120831,Zn12 Cr6 H72 C153.96 N12 O96
4120901,Fe4 H120 C96 S8 N16 O32 F24
4120916,Zn2 H30 C54 Br2 N2 O8
4120917,Zn2 H38 C58 Br2 N2 O8
4120950,P4 H192 C172 Br4 N32
4120972,H36 C64 I4 O8
4120981,B8 P8 H192 Pd8 C148 O4 F32
4121007,Fe2 H60 C60 N48 Cl4 O16
4121075,Na3 Si9 H117 C48 O18
4121076,Na2 Si6 B2 H110.404 C68.0 O12.0
4121125,H40 C40 S24
4121148,Mo8 H40 C40 N8 O24
4121149,H25.216 W4 C24 N4 O12.608
4121187,H168 C152 Br8 O16
4121244,H160 C160 O24
4121301,Si12 H184 C132 N16
4121302,P4 H92 Ru4 C76 S4 N8 O8 F24
4121305,Co4 P4 H72 C84 F24
4121310,Zn8 H136 C152 S24 N24 O8 F8
4121311,Zn4 H48 C64 S12 N12 F4
4121322,Si4 B40 H144 C76
4121328,Si8 B40 H160 C64
4121368,H184 C176 S8 N8 O16
4121369,H152 C128 S4 N8 O20
4121370,H160 C144 S4 N8 O20
4121371,H216 C180 N18
4121407,H132 C108 N16 O36
4121427,H72 C80 N4 O4 F12
4121456,H140 C116 Br4 O16
4121459,Zr24 H48 C96 O128
4121465,Zr12 H64 C124 O70.08
4121495,P8 H152 C176 Br8.0 N8 O8
4121501,U4 Co4 P12 H240 C172 N16 O16
4121518,Si4 H152 C92 O20
4121522,Co12 H96 C144 N8 O64
4121523,Co12 H96 C120 N8 O40
4121524,Co12 H152 C144 N8 O48
4121528,Ni8 P16 H256 C136 F24
4121530,B8 H152 C164 N8 O44
4121540,P4 H152 C136 Br4
4121569,H48 C48 I4 O4 F4
4121574,H76 C88 O8 F4
4121575,H72 C96 S12 Br12 N12 O24
4121577,Al16 H152 C230 O82
4121579,Zn4 H80 C92 N16 Cl8
4121585,H92 C84.0 S4 N4 O32
4121587,Ca8 P12 H124 C96 O112
4121592,H48.0 C72 Se8 S4 N8 O16
4121598,Co12 H144 C192 N24 O48
4121601,Co8 H128 C192 N16 O32
4121618,Fe12 H144 C204 O12
4121623,V28 Cd8 Ge24 H64 C16 N16 O142
4121626,P4 H76 C64 S4
4121660,Si4 H184 C132 N8 O36
4121662,H104 C96 N8 O36
4121708,Ni4 P8 H240 C188 N8
4121725,Si12 As4 H284 C144
4121726,Si12 Sb4 H284 C144
4121749,H96 C128 N32 Cl32
4121751,H36 C44 S4 N4 Cl8 O8
4121772,Re4 P8 H176 C80 N4 Cl8
4121789,Ni4 H104 C184 Br8 N8 F24
4121837,P4 H156 Au4 C100 Cl16 F4
4121844,Si4 B40 H144 C80 O4
4121848,H216 C168 N8 O8
4121853,H88 C88 N12 O4
4121854,Cu4 Si4 H176 C176 N24 O24 F24
4121922,Si4 Mo2 P8 H88 C24
4121941,H84 C81 S3 N3 Cl3 O18
4121964,H92 C88 S4 N4 O12
4121977,H136 C160 N8 O24
4121979,H60 C60 N4 O12
4121980,H60 C60 N4 O14
4121981,H64 C60 N4 O14
4121990,H76 C60 Br4 O8
4122018,H108 C100 S8 N4 O8
4122021,H90 C96 N6 Cl6 O6 F6
4122084,B2 H120 Ru4 C120 N16 O16 F8
4122136,Ga4 Si8 B4 Mo4 H72 C40 N4 Cl12 O16
4122234,H32 C72 N24 Cl8 O16
4122255,Fe3 H69.0 C60.0 N27 O12
4122263,H88 C84 Br4 N4 O12
4122272,H64 C76 S8
4122284,H176 C272 N32 O16
4122297,H168 W4 C232 N8 O16 F24
4122312,Ag8 H56 C64 N32 O24
4122342,Cu4 H76 C84 N28 O20
4122346,Cu4 H48 C75 N24 O22
4122371,Co4 H52 C72 N24 Cl8 O12
4122386,H56 C56 N8 O8
4122420,P4 H80 C72 S4 N4 O12
4122421,H84 C80 S4 N4 O16
4122422,P4 H80 C72 S4 N4 O8
4122461,Zn6 H48 C96 N12 O18
4122462,H102 Ru4 C164 N34 Cl8 O56
4122468,H36 Au2 C22 N8 Cl6
4122526,Lu4 H60 C44 O24
4122529,Gd1.316 Y2.684 H60 C44 O24
4122547,H92 C88 S8 N4 O16
4122553,H144 C120 S16 N16 O32
4122557,H136 C136 S8 N8 O16
4122562,H56 C60 S4 N4 Cl4 O8
4122568,H72 C84 S4 O4
4122584,Fe8 H32 C40 S8 O24
4122591,H128 C208 O16
4122598,Co4 Si8 P8 H184 C136
4122611,H104 C64 Br4 N4 O4
4122645,H168 C112 S8 N8 O16
4122669,B3 H132 C138 N3 O6 F12
4122702,H132 C80 N8 Cl12 O20
4122713,Zn32 H48 C96 N48 O56
4122714,Zn24 Co8 H48 C96 N48 O56
4122858,Re4 B4 H144 C124 N8 O20
4122865,H212 C136 N4 O36
4122873,Fe4 Co4 B4 H140 C168 S4 N56 O12 F12.0
4122874,Fe4 Co4 B4 H140 C192 S4 N64 O20 F12
4122884,H144.0 Pt4 C108 S4 N8 Cl8 O8
4122906,H68 C72 N4 O12
4122923,H40 C40 Br4 O4 F4
4122935,H76 C88 Se4 Br4 O8
4123024,H208 C176 N8 O8 F24.0
4123039,U4 Si24 H296 C116 N24
4123050,Si8 H192 C192 S24
4123078,P8 H112 C112 N24 Cl16
4123086,Co4 P4 H188 C164 N8 Cl4
4123113,Zr5.94 Fe3 H72 C144 N12 Cl3 O24
4123129,B4 H104 C116 N12 F8
4123143,H132 C104 Br8 O24
4123191,H92 C84 S4 Cl4 O16
4123200,H100 C92 N4 O12
4123217,Sn4 H144 Pt2 C70 N4 O2
4123249,H60 C40 N4 O4
4123251,Cu4 H180 C140 N12 O12
4123252,H160 C184 N16 O16
4123278,H248 C192 O36
4123290,P8 H140 Ir4 C184 Cl16 O4
4123333,H44 C36 Br4 N8
4123335,Ni6 H48 C84 N12 O26
4123338,Ni6 H48 C108 N12 O26
4123340,Ni6 H72.0 C120 N12 O26
4123342,Cu4 H72 C24 N8 Cl16 O8
4123350,H76 C80 N4 O12
4123360,H108 C76 S4 N4 O8
4123404,H216 C192 O16
4123408,B4 H128 C172 N4 F40
4123455,Zn8 H72 C108 N12 O26
4123519,P8 H200 C192 I8 N8
4123540,Mn4 H40 C16 N4 Cl12
4123546,Si4 H128 C84 O8
4123564,H120 C92 S4 I4 Cl4 O32
4123578,H144 C90 O18
4123579,H120 C48 N24
4123584,P16 H288 C144 N48
4123588,H56 C52 N16 O24
4123620,Fe4 Ni4 P8 H132 C164 S24 Cl12
4123667,H128 C80 O16
4123709,H32 C60 Br12 N4 O8
4123717,Zn8 H112 C144.0 N16 O32
4123819,H112 C100 N16 O8
4123856,Co4 P8 H136 C88 N20 Cl8 F12
4123857,Co4 P8 H140 C84 N20 Cl8
4123885,H80 C48 S4 Br4 N12
4123892,Mn8 Nb4 H160 C128 N96 O16
4123913,Cd13 H104 C192 N80 Cl10 O12
4123914,Cd17 H96 C192 N80 Cl10 O16
4123916,Mn4.9 H51.2 C96 N40 Cl1 O4
4124151,H196 C144 N12 O12
4124195,H100 C160 N12 O48
4124235,H188 Rh4 C124 N4 Cl4
4124293,H124 C84 N4 O8
4124295,H192 C126 N6 Cl6 O12
4124357,H140 Pd4 C124 N12 O4
4124388,H24.96 Pb4 C4.16 I12 N4.16
4124559,P4 H88 Rh2 C68 O2 F6
4124566,H60 C52 N4
4124584,Ca8 Fe16 H120 C144 N40 O64
4124636,Mn4 B32 H52 C12 O12
4124730,H104 C68 O20
4124742,In4 Ni4 P12 H248 C156 N16
4124755,H68 C68 N4 O12
4124818,Co4 P4 H72 C80 F24
4124824,H84 C76 N12 O4
4124831,Si8 H184 C200
4124836,Ti4 Si8 H148 C92 S4 O16 F12
4124900,H108.0 C94.0 N4 O8 F24.0
4124938,Lu2 Si13.474 H114 C48
4124945,H100 C116 S8 N12 O28
4125017,H100 C92 Br4 O12
4125070,H108 Rh4 C136 N8 O16
4125074,B8 H160 C128 O8
4125101,H92 C40 N12 O12
4125112,H168 C112 S8 N24 O8
4125115,H96 C92 N8 O12
4125127,P8 H224 C176 N8 O8
4125131,Zr12 H48 C112 N16 O96
4125143,Zr12 H108.16 C146.52 O64
4125148,Zr12 H99.2 C161.6 O57.6
4125152,B80 H88 C24 N8
4125155,B40 H80 C40 O4
4125173,H96 C88 N8 O8
4125189,B40 P8 H144 Ru4 C64 O16
4125190,B40 P8 H148 Ru4 C64 Cl4 O16
4125228,H116 C100 N4 O4
4125311,H128 C88 O24
4125317,H120 C120 N16 O24 F24
4125337,H172 C100 N20 O28
4125340,H200 C108 N24 O24
4125349,H180 C116 N20 O28
4125362,H176 C120 S4 N16 O28
4125394,Ni10.283 H73.056 C127.848 N27.396 O21.9684
4300008,Ni4 P8 H104 C124 Se8 N8
4300092,Cr6 H64 C90.08 N24 Cl4
4300166,Fe12 Mo4 P12 H264 C140 S16 N4 Cl16 O8
4300221,Ga12 B6 H18 C174 I18 N36 F108
4300246,Mo16 P16 H288 C96 N16 Cl32
4300253,Zn4 P4 H28 C16 N8 O12
4300261,Zn4 H104 C100 N8 Cl8 O4
4300304,Ti8 H176 C240 S16
4300308,Re4 H144 C104 N12 Cl4 O42
4300334,Ti8 H144 C88 N24 Cl16 F24
4300367,Zn8 H96 C116 N16 O56
4300372,Fe4 H100 C76 S4 N12 O8
4300415,Tl4 H36 Pt4 C32 S8 N24
4300417,Co4 H64 C28 N4 O44
4300424,Mn8 H48 C64 I16 N80
4300448,Fe8 Si8 H280 C128 S8 I8 O8
4300493,P16 H156 W4 C60 S12 N4 O12
4300567,Cd8 H12 C36 O28
4300596,Cu4 H40.0 C12 N8 Cl8
4300665,P8 H140 Pt4 C132 N20 O16
4300690,B6 H96 C120 I12 N6 O12
4300769,K8 Cu8 H112 C64 N32 O16
4300804,Fe4 H104 C88 N24 O32
4300913,Ga8 Si16 H312 C132 N24
4300957,Zn8 H152 C80 N8 O16
4300958,Zn8 H104 C56 N8 O16
4300995,Ni8 H176 W4 C72 N72 O12
4301032,Cu8 H176 C200 N24 Cl8 O40
4301122,H176 C156 N32 O36
4301126,Mn4 Cr4 H48 C36 N32 O8
4301127,Cd4 H160 C184 S8 N48 O24 F24
4301128,Mn4 H156 C184 S8 N48 O24 F24
4301211,Al8 H104 C40 N16
4301265,Cu8 H120 C92 N18 Cl8 O48
4301274,V8 P8 H16 C24 O46
4301276,V4 P4 H8 C12 O24.5 F2
4301327,Bi4 H52 C16 S4 I20 N4
4301328,Bi4 H52 C16 S4 I20 N4
4301347,Ni8 H96 C44 S8 Br8 N8
4301348,Ni4 H58 C46 S8 N4
4301352,Ni4 H96 C46 S12 N12 O12 F12
4301353,Mn16 H112 C120 N112 O32
4301360,Mn12 H112 C116 N40 O36
4301371,Li4 H108 C152 N32
4301402,P8 H120 C52 N12 O4
4301404,P12 H180 C78 Se12 N18 O6
4301405,P8 H122 Au8 C53 N12 Cl10 O4
4301424,Mn4 H36 C40 N36
4301427,Ni4 H36 C40 N36 O4
4301429,Cu4 H72 C96 N32 O8
4301433,Cu4 H20 C28 N12 O2
4301439,Cu8 H64 C64 Br8 N24
4301441,Cu8 H48 C64 N32
4301449,H136 Pt8 C192 N16 Cl8 O16
4301464,Te4 P4 H212 C116 S4 N8 O16 F12
4301493,Y2 B2 H70 C48 N12 Cl2 O2
4301507,H40 Ru2 C52 I8 N16
4301512,Fe2 Sn8 H48 C16 Se20 N4
4301520,Cu2 H32 C52 N24 O6
4301522,K4 Fe4 H132 C84 O87.96
4301523,Fe4 H120 C84 N4 O75.96
4301524,Na4 Fe4 H132 C84 O108
4301528,Mn4 H184 C116 N8 O24
4301535,B2 Mo2 P2 H84 C48 S4 N12 O2
4301542,P4 H115.6 Ru4 C139.8 N20 O12.6 F24
4301564,P6 H96 C66 N6 O6
4301566,P12 H168 C120 S12 N12 O12
4301585,P8 H96 W4 C48 S8 O8
4301597,U4 P8 H264 C176 I8 N12
4301599,Zn8 H64 C48 N48 Cl16
4301603,Cu2 H8 C6 Br2 N6
4301610,H144 W4 C64 N16
4301614,Al2 Sn2 H118 C96 N4 O2
4301615,Ni4 H72 C32 S8 N24
4301617,K32 Re48 H48 C48 S64 O96
4301622,Mn4 H144 C104 N24 O44
4301629,Ni4 P4 H152 C132 S4
4301639,Zn4 H80 C52 N12 O30
4301644,H180.7 C108 S12 N16 O36
4301657,Co4 H252 C216 N4
4301662,Sb4 P4 H184 Rh4 C140 N12 Cl8 F24.0
4301666,B2 P4 H108 Ru2 C80 S2 I2 N18 O12 F6
4301667,Ge2 H110 C88 N2
4301674,Si2 P6 H110 C72
4301696,Zr4 H128 Ir4 C88 Cl4
4301700,Zr8 H16 Ir8 C160
4301703,H72 C48 N8 O8
4301706,Fe4 Cu4 P8 H225 C144 N8 O8
4301709,Cu4 H28 C32 N12 O8
4301710,Cu4 H28 C44 N12 O8
4301719,Hg2 P4 H72 C56 S4 N8 F24
4301730,U4 H120 C80 I8 N16
4301733,U2 Te4 H120 C90 N8
4301738,Fe4 H218 C212 N22 O22
4301739,Cu8 Si8 H136 C52 N16
4301747,P4 H164 Os4 C64 N12 Cl4
4301754,Zn4 H168 C164 N12 Cl4
4301758,Cu4 H136 C132 N24 Cl12 O38
4301762,H104 Pd12 C72 S8 I8 O8
4301763,Cu2 H102 C44 S4 N8 O8
4301774,Cu6 H24 C42 S12 N6
4301792,Cu2 B2 H128 C114 N16 O20 F8
4301793,Cu8 H144.0 C138.0 N8 O40
4301800,Fe4 P3.9992 H168 C160 N46 F23.9952
4301805,Mn4 Fe4 H128 C160 N32 Cl8 O20
4301814,Mn2 Ni2 H52 C56 S20 N4 O4
4301824,Ba4 P8 H176 C160 N16 O24
4301825,Zn4 H96 C56 N8 Cl4 O22
4301830,U2 Ag2 H52 C108 O16 F60
4301834,Mg4 P4 H176 C124 N12 O20
4301854,P4 H60 Ru2 C92 N12 F24
4301868,Cu2 H4 C12 N4 O8
4301871,Ta4 Si4 H152 C92 N12 Cl8 O8
4301884,Cu8 H100 C84 N24 Cl4 O40
4301892,Fe4 Cu8 H80 C116 N36 F20
4301898,Fe1 Cu2 H16 C24 N8 Cl4
4301900,Fe1 Cu2 H16 C24 I4 N8
4301914,Mn4 H104 C120 O24
4301919,Fe4 H120 C104 N16
4301933,Co8 H80 W24 C80 Cl72
4301934,H40 W6 C16 N2 Cl18
4301957,H56 Pd2 W6 C56 Se8 S8 O60
4301959,Sn12 P8 H172 C68 S8 Cl12.0 O48
4301962,P12 H148 Pd4 C64 N4 Cl4 F24
4301973,Mo12 H72 C72 Se12 S4 N48 Cl16 O70
4301982,Fe2 H100 C84 S4 Br2 N4 O4
4302001,Zn8 H72 C40 N24 O24
4302002,Zn18 H126 C95.94 N57 O40.5
4302003,Zn18 H108 C72 N54 F18
4302022,Cu4 P4 H100 C84 I4 N10 Cl4 O16
4302023,Ag4 P4 H132 C104 N2 Cl4 O43
4302029,Ga2 H14 C12 O16
4302034,Fe4 P4 H84 C104 I4 N4 O12
4302036,Zn12 P16 H128 C52 N8 O48
4302038,Zn8 H200 C192 I24 N16
4302041,Zn4 H80 C56 I8 N8
4302047,Fe4 H184 C184 N24 O16
4302054,Cu8 H96 C80 Se8 N16 O40
4302057,Cu4 H64 C88 N16 O12 F24
4302061,Ni1 H68 C70 N6 O8
4302068,Cu4 H76.0 C100 N12 O20 F8
